id;type d'unit�;description;photo;cycliste;fonction 1;fonction 2;taille;diam�tre;unit�s du diam�tre;longueur;unit�s de  longueur;largeur;unit�s de largeur;hauteur;unit�s de hauteur;nombre de dents;nombre de trous;diam�tre du pivot;unit�s diam�tre du pivot;diam�tre du cintre;unit� diam�tre du cintre;longueur d'axe;unit� longueur d'axe;poids;unit�s poids;mati�re;vitesses;compatibilit�;marque;prix;mod�le;mode d'emploi;URL;;;;;;;;;
ref0079;v�lo urbain;V�lo urbain tr�s l�ger, une seule vitesse et frein r�trop�dalage.;http://urban-fixie.com/media/catalog/product/cache/1/image/832x468/28f92c9ffcc3a35bf1b252703e38f6ae/v/e/velo-complet-al464p-look_3.jpg;homme;v�lo;;S;;;;;;;;;;;;;;;;;7,49;kg;;;;LOOK;1 899,00 ?;AL464P;;http://urban-fixie.com/velos-complets/velo-complet-look/velo-complet-al464p-look.html;;;;;;;;;
ref0080;cadre;Cadre noir LOOK.;http://urban-fixie.com/media/catalog/product/cache/1/image/832x468/28f92c9ffcc3a35bf1b252703e38f6ae/c/a/cadre-piste-al464p-2015-look.jpg;;cadre;;S;;;;;;;;;;;;;;;;;1.6;kg;aluminium AL 6061;;;LOOK;;AL464P;;http://urban-fixie.com/pieces-detachees/cadres-piste-look/kit-cadre-fourche-al464p-look.html;;;;;;;;;
ref0081;roue avant;;http://urban-fixie.com/media/catalog/product/cache/1/image/832x468/28f92c9ffcc3a35bf1b252703e38f6ae/r/u/ruote_pistard_2.jpg;;roue;;;26;pouces;;;;;;;;;;;;;;;1;kg;;;;Miche;120,00 ?;Pistard WR;;http://urban-fixie.com/pieces-detachees/roues/roues-pistard-wr-black-silver-miche.html;;;;;;;;;
ref0082;roue arri�re;;http://urban-fixie.com/media/catalog/product/cache/1/image/832x468/28f92c9ffcc3a35bf1b252703e38f6ae/r/u/ruote_pistard_2.jpg;;roue;;;26;pouces;;;;;;;;;;;;;;;1;kg;;;;Miche;145,00 ?;Pistard WR;;http://urban-fixie.com/pieces-detachees/roues/roues-pistard-wr-black-silver-miche.html;;;;;;;;;
ref0083;fourche;;http://urban-fixie.com/media/catalog/product/cache/1/image/832x468/28f92c9ffcc3a35bf1b252703e38f6ae/c/a/cadre-piste-al464p-2015-look.jpg;;direction;;;;;;;;;;;;;;;;;;;360;g;aluminium AL 6061;;;LOOK;;AL464P;;http://urban-fixie.com/pieces-detachees/cadres-piste-look/kit-cadre-fourche-al464p-look.html;;;;;;;;;
ref0084;cintre;;http://www.probikeshop.fr/images/products2/271/77756/600x600-77756-deda-cintre-pista.jpg;;direction;;;317;mm;;;420;mm;;;;;;;;;;;279;g;alliage l�ger 601 T6;;;DEDA;47,90 ?;PISTA;;http://www.probikeshop.fr/deda-cintre-pista/77756.html;;;;;;;;;
ref0085;ruban de cintre;Absorbe les chocs et les vibrations.;http://www.lookcycle.com/media/catalog/product/cache/1/image/560x374/5e06319eda06f020e43594a9c230972d/g/u/guidoline_noire.png;;direction;;;;;;;;;;;;;;;;;;;;;mati�re EVA d�formable;;;LOOK;9,99 ?;LOOK grip;fiche produit;http://www.lookcycle.com/fr/uk/route/accessoires/ruban-de-cintre.html;;;;;;;;;
ref0086;potence;;http://www.probikeshop.fr/images/products2/271/103775/600x600-103775-tous-les-messages-31400.jpg;;direction;;;;;100;mm;;;;;;;28,6;mm;31,8;mm;;;145;g;aluminium;;;DEDA;14,99 ?;EL;;http://www.probikeshop.fr/potence-deda-el-8/103775.html;;;;;;;;;
ref0087;selle;;http://www.purebike.fr/article_media/m-4139-4490.jpg;;p�riph�rique;;;;;273;mm;142;mm;;;;;;;;;;;239;g;;;;Fizik;49,90 ?;Ardea;;http://www.purebike.fr/fr/vtt-f1/peripheriques-f26/selles-f46/fizik-selle-ardea-manganese-noir-blanc-a4139.html?gclid=CLjZofaf1sgCFRFsGwodV58HPA;;;;;;;;;
ref0088;tige de selle;;http://www.wigglestatic.com/product-media/5360105583/deda-rsx01-seatpost-black.jpg?w=1000&h=1000&a=7;;cadre;;;31,6;mm;350;mm;;;;;;;;;;;;;;;aluminium;;;DEDA;26,90 ?;RS01;;http://www.probikeshop.fr/tige-de-selle-deda-rs-01-recul-21-mm-argent/102113.html;;;;;;;;;
ref0089;jante;;;;roue;;;26;pouces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0090;moyeu avant;;http://www.miche.it/modules/Cataloger/Cataloger.Image.php?i=mozzi-primato-pista---flangia-grande_f_1_400_1.jpg&ac=98016;;roue;;;;;;;;;;;;28 trous;;;;;;;;;aluminium forg�;;;Miche;37,10 ?;Primato Pista;;http://www.miche.it/en/catalogo/catalogo-miche/mozzi/mozzi-primato-pista---flangia-grande;;;;;;;;;
ref0091;moyeu arri�re;;http://www.miche.it/modules/Cataloger/Cataloger.Image.php?i=mozzi-primato-pista---flangia-grande_f_1_400_1.jpg&ac=98016;;roue;;;;;;;;;;;;28 trous;;;;;;;;;aluminium forg�;;;Miche;42,80 ?;Primato Pista;;http://www.miche.it/en/catalogo/catalogo-miche/mozzi/mozzi-primato-pista---flangia-grande;;;;;;;;;
ref0092;rayons;Rayonnage en Crois� x3 Chrome avec t�te de rayons Chrome.;;;roue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0093;pneu;;http://urban-fixie.com/media/catalog/product/cache/1/image/832x468/28f92c9ffcc3a35bf1b252703e38f6ae/4/-/4-seasons.png;;roue;;;26;pouces;;;;;;;;;;;;;;;220;g;;;;Continental;45,00 ?;Grand prix 4 saisons;;http://urban-fixie.com/pneu-gran-prix-4-saisons-continental.html;;;;;;;;;
